Country_Region,Date,Category,value
Algeria,2020-02-20,Deaths,0
Algeria,2020-02-20,Recovered,0
Algeria,2020-02-21,Confirmed,0
Algeria,2020-02-21,Deaths,0
Algeria,2020-02-21,Recovered,0
Algeria,2020-02-22,Confirmed,0
Algeria,2020-02-22,Deaths,0
Algeria,2020-02-22,Recovered,0
Algeria,2020-02-23,Confirmed,0
Algeria,2020-02-23,Deaths,0
Algeria,2020-02-23,Recovered,0
Algeria,2020-02-24,Confirmed,0
Algeria,2020-02-24,Deaths,0
Algeria,2020-02-24,Recovered,0
Algeria,2020-02-25,Confirmed,1
Algeria,2020-02-25,Deaths,0
Algeria,2020-02-25,Recovered,0
Algeria,2020-02-26,Confirmed,1
Algeria,2020-02-26,Deaths,0
Algeria,2020-02-26,Recovered,0
Algeria,2020-02-27,Confirmed,1
Algeria,2020-02-27,Deaths,0
Algeria,2020-02-27,Recovered,0
Algeria,2020-02-28,Confirmed,1
Algeria,2020-02-28,Deaths,0
Algeria,2020-02-28,Recovered,0
Algeria,2020-02-29,Confirmed,1
Algeria,2020-02-29,Deaths,0
Algeria,2020-02-29,Recovered,0
Algeria,2020-03-01,Confirmed,1
Algeria,2020-03-01,Deaths,0
Algeria,2020-03-01,Recovered,0
Algeria,2020-03-02,Confirmed,3
Algeria,2020-03-02,Deaths,0
Algeria,2020-03-02,Recovered,0
Algeria,2020-03-03,Confirmed,5
Algeria,2020-03-03,Deaths,0
Algeria,2020-03-03,Recovered,0
Algeria,2020-03-04,Confirmed,12
Algeria,2020-03-04,Deaths,0
Algeria,2020-03-04,Recovered,0
Algeria,2020-03-05,Confirmed,12
Algeria,2020-03-05,Deaths,0
Algeria,2020-03-05,Recovered,0
Algeria,2020-03-06,Confirmed,17
Algeria,2020-03-06,Deaths,0
Algeria,2020-03-06,Recovered,0
Algeria,2020-03-07,Confirmed,17
Algeria,2020-03-07,Deaths,0
Algeria,2020-03-07,Recovered,0
Algeria,2020-03-08,Confirmed,19
Algeria,2020-03-08,Deaths,0
Algeria,2020-03-08,Recovered,0
Algeria,2020-03-09,Confirmed,20
Algeria,2020-03-09,Deaths,0
Algeria,2020-03-09,Recovered,0
Algeria,2020-03-10,Confirmed,20
Algeria,2020-03-10,Deaths,0
Algeria,2020-03-10,Recovered,0
Algeria,2020-03-11,Confirmed,20
Algeria,2020-03-11,Deaths,0
Algeria,2020-03-11,Recovered,0
Algeria,2020-03-12,Confirmed,24
Algeria,2020-03-12,Deaths,1
Algeria,2020-03-12,Recovered,8
Algeria,2020-03-13,Confirmed,26
Algeria,2020-03-13,Deaths,2
Algeria,2020-03-13,Recovered,8
Algeria,2020-03-14,Confirmed,37
Algeria,2020-03-14,Deaths,3
Algeria,2020-03-14,Recovered,12
Algeria,2020-03-15,Confirmed,48
Algeria,2020-03-15,Deaths,4
Algeria,2020-03-15,Recovered,12
Algeria,2020-03-16,Confirmed,54
Algeria,2020-03-16,Deaths,4
Algeria,2020-03-16,Recovered,12
Algeria,2020-03-17,Confirmed,60
Algeria,2020-03-17,Deaths,4
Algeria,2020-03-17,Recovered,12
Andorra,2020-01-22,Confirmed,0
Andorra,2020-01-22,Deaths,0
Andorra,2020-01-22,Recovered,0
Andorra,2020-01-23,Confirmed,0
Andorra,2020-01-23,Deaths,0
Andorra,2020-01-23,Recovered,0
Andorra,2020-01-24,Confirmed,0
Andorra,2020-01-24,Deaths,0
Andorra,2020-01-24,Recovered,0
Andorra,2020-01-25,Confirmed,0
Andorra,2020-01-25,Deaths,0
Andorra,2020-01-25,Recovered,0
Andorra,2020-01-26,Confirmed,0
Andorra,2020-01-26,Deaths,0
Andorra,2020-01-26,Recovered,0
Andorra,2020-01-27,Confirmed,0
Andorra,2020-01-27,Deaths,0
Andorra,2020-01-27,Recovered,0
Andorra,2020-01-28,Confirmed,0
Andorra,2020-01-28,Deaths,0
Andorra,2020-01-28,Recovered,0
Andorra,2020-01-29,Confirmed,0
Andorra,2020-01-29,Deaths,0
Andorra,2020-01-29,Recovered,0
Andorra,2020-01-30,Confirmed,0
Andorra,2020-01-30,Deaths,0
Andorra,2020-01-30,Recovered,0
Andorra,2020-01-31,Confirmed,0
Andorra,2020-01-31,Deaths,0
Andorra,2020-01-31,Recovered,0
Andorra,2020-02-01,Confirmed,0
Andorra,2020-02-01,Deaths,0
Andorra,2020-02-01,Recovered,0
Andorra,2020-02-02,Confirmed,0
Andorra,2020-02-02,Deaths,0
Andorra,2020-02-02,Recovered,0
Andorra,2020-02-03,Confirmed,0
Andorra,2020-02-03,Deaths,0
Andorra,2020-02-03,Recovered,0
Andorra,2020-02-04,Confirmed,0
