state,Date,value
3 Mar,2020-02-25,35
3 Mar,2020-02-26,3
3 Mar,2020-02-27,1
3 Mar,2020-02-28,1
3 Mar,2020-02-29,2
3 Mar,2020-03-01,10
3 Mar,2020-03-02,1
3 Mar,2020-03-03,0
3 Mar,2020-03-04,101
3 Mar,2020-03-05,2
3 Mar,2020-03-06,0
3 Mar,2020-03-07,1
3 Mar,2020-03-08,0
3 Mar,2020-03-09,2
3 Mar,2020-03-10,1
3 Mar,2020-03-11,2
3 Mar,2020-03-12,188
3 Mar,2020-03-13,0
3 Mar,2020-03-14,38
3 Mar,2020-03-15,0
4 Mar,2020-02-24,44
4 Mar,2020-02-25,48
4 Mar,2020-02-26,6
4 Mar,2020-02-27,1
4 Mar,2020-02-28,2
4 Mar,2020-02-29,2
4 Mar,2020-03-01,12
4 Mar,2020-03-02,4
4 Mar,2020-03-03,3
4 Mar,2020-03-04,111
4 Mar,2020-03-05,2
4 Mar,2020-03-06,1
4 Mar,2020-03-07,1
4 Mar,2020-03-08,0
4 Mar,2020-03-09,2
4 Mar,2020-03-10,1
4 Mar,2020-03-11,2
4 Mar,2020-03-12,240
4 Mar,2020-03-13,0
4 Mar,2020-03-14,52
4 Mar,2020-03-15,0
5 Mar,2020-02-24,65
5 Mar,2020-02-25,52
5 Mar,2020-02-26,9
5 Mar,2020-02-27,1
5 Mar,2020-02-28,3
5 Mar,2020-02-29,8
5 Mar,2020-03-01,14
5 Mar,2020-03-02,10
5 Mar,2020-03-03,4
5 Mar,2020-03-04,175
5 Mar,2020-03-05,7
5 Mar,2020-03-06,1
5 Mar,2020-03-07,1
5 Mar,2020-03-08,0
5 Mar,2020-03-09,3
5 Mar,2020-03-10,1
5 Mar,2020-03-11,0
5 Mar,2020-03-12,349
5 Mar,2020-03-13,0
5 Mar,2020-03-14,109
5 Mar,2020-03-15,0
6 Mar,2020-02-24,91
6 Mar,2020-02-25,79
6 Mar,2020-02-26,15
6 Mar,2020-02-27,1
6 Mar,2020-02-28,3
6 Mar,2020-02-29,8
6 Mar,2020-03-01,15
6 Mar,2020-03-02,18
