location,category,th_1,th_5,th_10,th_25,th_50,th_100
Philippines,cumulative deaths,2020-02-02,2020-03-15,2020-03-16,NA,NA,NA
Philippines,cumulative cases,2020-02-25,2020-03-06,2020-03-09,2020-03-10,2020-03-12,2020-03-15
Poland,cumulative cases,2020-02-25,2020-03-07,2020-03-09,2020-03-12,2020-03-14,2020-03-15
Poland,cumulative deaths,2020-03-13,NA,NA,NA,NA,NA
Portugal,cumulative cases,2020-02-25,2020-03-05,2020-03-07,2020-03-09,2020-03-14,2020-03-14
Qatar,cumulative cases,2020-02-25,2020-03-03,2020-03-07,2020-03-12,2020-03-12,2020-03-12
South Korea,cumulative cases,2020-02-25,2020-01-31,2020-01-31,2020-02-09,2020-02-19,2020-02-20
South Korea,cumulative deaths,2020-02-20,2020-02-23,2020-02-25,2020-03-03,2020-03-08,NA
Moldova,cumulative cases,2020-02-25,2020-03-14,2020-03-15,2020-03-17,NA,NA
Romania,cumulative cases,2020-02-25,2020-03-06,2020-03-08,2020-03-11,2020-03-14,2020-03-15
Russia,cumulative cases,2020-02-25,2020-03-07,2020-03-12,2020-03-13,2020-03-16,NA
Reunion,cumulative cases,2020-02-25,2020-03-14,NA,NA,NA,NA
San Marino,cumulative cases,2020-02-25,2020-03-03,2020-03-05,2020-03-08,2020-03-11,2020-03-17
San Marino,cumulative deaths,2020-03-08,2020-03-15,NA,NA,NA,NA
Saudi Arabia,cumulative cases,2020-02-25,2020-03-06,2020-03-08,2020-03-14,2020-03-14,2020-03-15
Senegal,cumulative cases,2020-02-25,2020-03-13,2020-03-13,2020-03-16,NA,NA
Serbia,cumulative cases,2020-02-25,2020-03-11,2020-03-11,2020-03-14,2020-03-17,NA
Singapore,cumulative cases,2020-02-25,2020-01-28,2020-01-30,2020-02-06,2020-02-13,2020-03-01
Slovakia,cumulative cases,2020-02-25,2020-03-09,2020-03-12,2020-03-14,2020-03-16,NA
Slovenia,cumulative cases,2020-02-25,2020-03-06,2020-03-08,2020-03-11,2020-03-12,2020-03-14
South Africa,cumulative cases,2020-02-25,2020-03-10,2020-03-12,2020-03-15,2020-03-16,NA
Spain,cumulative cases,2020-02-25,2020-02-27,2020-02-27,2020-02-28,2020-03-03,2020-03-03
Spain,cumulative deaths,2020-03-05,2020-03-07,2020-03-09,2020-03-10,2020-03-13,2020-03-14
Sri Lanka,cumulative cases,2020-02-25,2020-03-14,2020-03-15,2020-03-17,NA,NA
Sudan,cumulative deaths,2020-03-16,NA,NA,NA,NA,NA
Sweden,cumulative cases,2020-02-25,2020-02-28,2020-02-29,2020-03-05,2020-03-06,2020-03-07
Sweden,cumulative deaths,2020-03-16,NA,NA,NA,NA,NA
Switzerland,cumulative cases,2020-02-25,2020-02-28,2020-02-29,2020-03-03,2020-03-05,2020-03-07
Switzerland,cumulative deaths,2020-03-06,2020-03-13,2020-03-15,NA,NA,NA
Thailand,cumulative cases,2020-02-25,2020-01-26,2020-01-28,2020-02-05,2020-03-08,2020-03-16
